Issue Key,Date,Status
FU-237,2024-11-26,APPLE REVIEW
FU-237,2024-11-26,APPROVED
FU-237,2024-11-26,TERMINATED
FU-236,2024-11-26,OPEN
FU-236,2024-11-26,TERMINATED
FU-235,2024-11-26,OPEN
FU-235,2024-11-26,IN PROGRESS
FU-235,2024-11-26,TERMINATED
FU-234,2024-11-26,OPEN
FU-234,2024-11-26,IN PROGRESS
FU-233,2024-11-26,OPEN
FU-233,2024-11-26,IN PROGRESS
FU-233,2024-11-26,APPLE REVIEW
FU-233,2024-11-26,APPROVED
FU-233,2024-12-11,TERMINATED
FU-232,2024-11-26,OPEN
FU-232,2024-11-26,IN PROGRESS
FU-232,2024-11-26,APPLE REVIEW
FU-232,2024-11-26,APPROVED
FU-232,2024-12-11,TERMINATED
FU-231,2024-11-26,OPEN
FU-231,2024-11-26,IN PROGRESS
FU-231,2024-11-26,APPLE REVIEW
FU-231,2024-11-26,APPROVED
FU-231,2024-12-11,TERMINATED
FU-230,2024-11-26,OPEN
FU-230,2024-11-26,IN PROGRESS
FU-230,2024-11-26,APPLE REVIEW
FU-230,2024-11-26,APPROVED
FU-230,2024-12-11,TERMINATED
FU-229,2024-11-26,OPEN
FU-229,2024-11-26,IN PROGRESS
FU-229,2024-11-26,APPLE REVIEW
FU-229,2024-11-26,APPROVED
FU-229,2024-12-11,TERMINATED
FU-228,2024-11-26,OPEN
FU-228,2024-11-26,IN PROGRESS
FU-228,2024-11-26,APPLE REVIEW
FU-228,2024-11-26,APPROVED
FU-228,2024-12-11,TERMINATED
FU-227,2024-11-26,OPEN
FU-227,2024-11-26,IN PROGRESS
FU-227,2024-11-26,APPLE REVIEW
FU-227,2024-11-26,APPROVED
FU-227,2024-12-11,TERMINATED
FU-226,2024-11-26,OPEN
FU-226,2024-11-26,IN PROGRESS
FU-226,2024-11-26,APPLE REVIEW
FU-226,2024-11-26,APPROVED
FU-226,2024-12-11,TERMINATED
FU-225,2024-11-26,OPEN
FU-225,2024-11-26,IN PROGRESS
FU-225,2024-11-26,APPLE REVIEW
FU-225,2024-11-26,APPROVED
FU-225,2024-12-11,TERMINATED
FU-225,2024-12-11,TERMINATED
FU-224,2024-11-26,OPEN
FU-224,2024-11-26,IN PROGRESS
FU-224,2025-01-03,APPLE REVIEW
FU-224,2025-01-10,APPROVED
FU-224,2025-01-29,APPROVED WITH SDK
FU-224,2025-02-06,Gone
FU-223,2024-11-26,OPEN
FU-223,2024-11-26,IN PROGRESS
FU-223,2024-11-26,APPLE REVIEW
FU-223,2024-11-26,APPROVED
FU-223,2024-12-11,TERMINATED
FU-222,2024-11-26,OPEN
FU-222,2024-11-26,TERMINATED
FU-221,2024-11-26,OPEN
FU-221,2024-11-27,CANCELED
FU-220,2024-11-26,OPEN
FU-220,2024-11-26,TERMINATED
FU-219,2024-11-26,OPEN
FU-219,2024-11-26,TERMINATED
FU-218,2024-11-26,OPEN
FU-218,2024-11-26,TERMINATED
FU-217,2024-11-26,OPEN
FU-217,2024-11-26,TERMINATED
FU-216,2024-11-26,OPEN
FU-216,2024-11-26,TERMINATED
FU-215,2024-11-26,OPEN
FU-215,2024-11-26,TERMINATED
FU-214,2024-11-26,OPEN
FU-214,2024-11-26,TERMINATED
FU-213,2024-11-26,OPEN
FU-213,2024-11-26,TERMINATED
FU-212,2024-11-26,OPEN
FU-212,2024-11-26,TERMINATED
FU-211,2024-11-26,OPEN
FU-211,2024-11-26,TERMINATED
FU-210,2024-11-26,OPEN
FU-210,2024-11-26,TERMINATED
FU-209,2024-11-26,OPEN
FU-209,2024-11-26,IN PROGRESS
FU-209,2024-11-26,APPLE REVIEW
FU-209,2024-11-26,APPROVED
FU-209,2024-11-26,APPROVED WITH SDK
FU-209,2024-12-10,TERMINATED
FU-208,2024-11-26,OPEN
FU-208,2024-11-26,IN PROGRESS
FU-208,2024-11-26,APPLE REVIEW
FU-208,2024-11-26,APPROVED
FU-208,2024-11-26,APPROVED WITH SDK
FU-208,2024-12-10,TERMINATED
FU-207,2024-11-26,OPEN
FU-207,2024-11-26,IN PROGRESS
FU-207,2024-11-26,APPLE REVIEW
FU-207,2024-11-26,APPROVED
FU-207,2024-11-26,APPROVED WITH SDK
FU-207,2024-12-10,TERMINATED
FU-206,2024-11-26,OPEN
FU-206,2024-11-26,IN PROGRESS
FU-206,2024-11-26,APPLE REVIEW
FU-206,2024-11-26,APPROVED
FU-206,2024-11-26,APPROVED WITH SDK
FU-206,2024-12-10,TERMINATED
FU-205,2024-11-26,OPEN
FU-205,2024-11-26,IN PROGRESS
FU-205,2024-11-26,APPLE REVIEW
FU-205,2024-11-26,APPROVED
FU-205,2024-11-26,APPROVED WITH SDK
FU-205,2024-12-10,TERMINATED
FU-204,2024-11-26,OPEN
FU-204,2024-11-26,IN PROGRESS
FU-204,2024-11-26,APPLE REVIEW
FU-204,2024-11-26,APPROVED
FU-204,2024-11-26,APPROVED WITH SDK
FU-204,2024-12-10,TERMINATED
FU-203,2024-11-26,OPEN
FU-203,2024-11-26,IN PROGRESS
FU-203,2024-11-26,APPLE REVIEW
FU-203,2024-11-26,APPROVED
FU-203,2024-11-26,APPROVED WITH SDK
FU-203,2024-12-10,TERMINATED
FU-202,2024-11-26,OPEN
FU-202,2024-11-26,IN PROGRESS
FU-202,2024-11-26,APPLE REVIEW
FU-202,2024-11-26,APPROVED
FU-202,2024-11-26,APPROVED WITH SDK
FU-202,2024-12-10,TERMINATED
FU-201,2024-11-26,OPEN
FU-201,2024-11-26,IN PROGRESS
FU-201,2024-11-26,APPLE REVIEW
FU-201,2024-11-26,APPROVED
FU-201,2024-11-26,APPROVED WITH SDK
FU-201,2024-12-27,QC Passed
FU-201,2025-01-07,TERMINATED
FU-200,2024-11-26,OPEN
FU-200,2024-11-26,IN PROGRESS
FU-200,2024-11-26,APPLE REVIEW
FU-200,2024-11-26,APPROVED
FU-200,2024-11-26,APPROVED WITH SDK
FU-200,2024-12-10,TERMINATED
FU-199,2024-11-26,OPEN
FU-199,2024-11-26,IN PROGRESS
FU-199,2024-11-26,APPLE REVIEW
FU-199,2024-11-26,APPROVED
FU-199,2024-11-26,APPROVED WITH SDK
FU-199,2024-12-10,TERMINATED
FU-198,2024-11-26,OPEN
FU-198,2024-11-26,IN PROGRESS
FU-198,2024-11-26,APPLE REVIEW
FU-198,2024-11-26,APPROVED
FU-198,2024-11-26,APPROVED WITH SDK
FU-198,2024-12-10,TERMINATED
FU-197,2024-11-26,OPEN
FU-197,2024-11-26,IN PROGRESS
FU-197,2024-11-26,APPLE REVIEW
FU-197,2024-11-26,APPROVED
FU-197,2024-11-26,APPROVED WITH SDK
FU-197,2024-12-10,TERMINATED
FU-196,2024-11-26,OPEN
FU-196,2024-11-26,IN PROGRESS
FU-196,2024-11-26,APPLE REVIEW
FU-196,2024-11-26,APPROVED
FU-196,2024-11-26,APPROVED WITH SDK
FU-196,2024-12-10,TERMINATED
FU-195,2024-11-26,OPEN
FU-195,2024-11-26,IN PROGRESS
FU-195,2024-11-26,APPLE REVIEW
FU-195,2024-11-26,APPROVED
FU-195,2024-11-26,APPROVED WITH SDK
FU-195,2024-12-10,TERMINATED
FU-194,2024-11-26,OPEN
FU-194,2024-11-26,IN PROGRESS
FU-194,2024-11-26,APPLE REVIEW
FU-194,2024-11-26,APPROVED
FU-194,2024-11-26,APPROVED WITH SDK
FU-194,2024-12-10,TERMINATED
FU-193,2024-11-26,OPEN
FU-193,2024-11-26,IN PROGRESS
FU-193,2024-11-26,APPLE REVIEW
FU-193,2024-11-26,APPROVED
FU-193,2024-11-26,APPROVED WITH SDK
FU-193,2024-12-10,TERMINATED
FU-192,2024-11-26,OPEN
FU-192,2024-11-26,IN PROGRESS
FU-192,2024-11-26,APPLE REVIEW
FU-192,2024-11-26,APPROVED
FU-192,2024-11-26,APPROVED WITH SDK
FU-192,2024-12-10,TERMINATED
FU-191,2024-11-26,OPEN
FU-191,2024-11-26,IN PROGRESS
FU-191,2024-11-26,APPLE REVIEW
FU-191,2024-11-26,APPROVED
FU-191,2024-11-26,APPROVED WITH SDK
FU-191,2024-12-10,TERMINATED
FU-190,2024-11-26,OPEN
FU-190,2024-11-26,IN PROGRESS
FU-190,2024-11-26,APPLE REVIEW
FU-190,2024-11-26,APPROVED
FU-190,2024-11-26,APPROVED WITH SDK
FU-190,2024-12-10,TERMINATED
FU-189,2024-11-26,OPEN
FU-189,2024-11-26,IN PROGRESS
FU-189,2025-03-06,APPLE REVIEW
FU-189,2025-03-06,REJECTED
FU-188,2024-11-25,OPEN
FU-188,2024-12-04,IN PROGRESS
FU-188,2024-12-12,APPLE REVIEW
FU-188,2024-12-16,APPROVED
FU-188,2025-01-04,APPROVED WITH SDK
FU-188,2025-01-04,QC FAILED
FU-188,2025-01-06,APPROVED WITH SDK
FU-188,2025-01-07,TERMINATED
FU-188,2025-01-07,PENDING
FU-188,2025-01-07,IN PROGRESS
FU-188,2025-01-07,APPLE REVIEW
FU-188,2025-01-07,APPROVED
FU-188,2025-01-07,APPROVED WITH SDK
FU-188,2025-01-11,QC Passed
FU-188,2025-01-11,OnLP
FU-188,2025-01-14,QC Passed
FU-188,2025-02-07,Gone
FU-187,2024-11-25,OPEN
FU-187,2024-11-26,IN PROGRESS
FU-187,2024-11-26,REVIEW
FU-187,2024-11-26,DONE
FU-186,2024-11-23,OPEN
FU-186,2024-11-23,TERMINATED
FU-185,2024-11-22,OPEN
FU-185,2024-11-25,IN PROGRESS
FU-185,2024-11-25,REVIEW
FU-185,2024-12-12,DONE
FU-184,2024-11-22,OPEN
FU-184,2024-11-22,IN PROGRESS
FU-184,2024-11-22,APPLE REVIEW
FU-184,2024-11-22,REJECTED
FU-184,2024-11-22,TERMINATED
FU-184,2024-11-22,CANCELED
FU-183,2024-11-22,OPEN
FU-183,2024-11-22,IN PROGRESS
FU-183,2024-11-22,APPLE REVIEW
FU-183,2024-11-22,REJECTED
FU-183,2024-11-22,CANCELED
FU-182,2024-11-22,OPEN
FU-182,2024-11-22,IN PROGRESS
FU-182,2024-11-22,APPLE REVIEW
FU-182,2024-11-22,REJECTED
FU-182,2024-11-22,CANCELED
FU-181,2024-11-22,OPEN
FU-181,2024-11-22,IN PROGRESS
FU-181,2024-11-22,APPLE REVIEW
FU-181,2024-11-22,REJECTED
FU-181,2024-11-22,CANCELED
FU-180,2024-11-22,OPEN
FU-180,2024-11-22,IN PROGRESS
FU-180,2024-11-22,OPEN
FU-180,2024-11-22,IN PROGRESS
FU-180,2024-11-22,APPLE REVIEW
FU-180,2024-11-22,REJECTED
FU-180,2024-11-22,CANCELED
FU-179,2024-11-22,OPEN
FU-179,2024-11-22,IN PROGRESS
FU-179,2024-11-22,APPLE REVIEW
FU-179,2024-11-22,REJECTED
FU-179,2024-11-22,CANCELED
FU-178,2024-11-22,OPEN
FU-178,2024-11-22,IN PROGRESS
FU-178,2024-11-22,APPLE REVIEW
FU-178,2024-11-22,REJECTED
FU-178,2024-11-22,CANCELED
FU-177,2024-11-22,OPEN
FU-177,2024-11-22,IN PROGRESS
FU-177,2024-11-22,APPLE REVIEW
FU-177,2024-11-22,REJECTED
FU-177,2024-11-22,CANCELED
FU-176,2024-11-22,OPEN
FU-176,2024-11-22,IN PROGRESS
FU-176,2024-11-22,APPLE REVIEW
FU-176,2024-11-22,APPROVED
FU-176,2024-11-22,APPROVED WITH SDK
FU-176,2024-11-22,TERMINATED
FU-175,2024-11-22,OPEN
FU-175,2024-11-22,IN PROGRESS
FU-175,2024-11-22,APPLE REVIEW
FU-175,2024-11-22,APPROVED
FU-175,2024-11-22,APPROVED WITH SDK
FU-175,2024-11-22,TERMINATED
FU-174,2024-11-22,OPEN
FU-174,2024-11-22,IN PROGRESS
FU-174,2024-11-22,APPLE REVIEW
FU-174,2024-11-22,APPROVED
FU-174,2024-11-22,TERMINATED
FU-173,2024-11-22,OPEN
FU-173,2024-11-22,IN PROGRESS
FU-173,2024-11-22,APPLE REVIEW
FU-173,2024-11-22,APPROVED
FU-173,2024-11-22,TERMINATED
FU-172,2024-11-22,OPEN
FU-172,2024-11-22,IN PROGRESS
FU-172,2024-11-22,APPLE REVIEW
FU-172,2024-11-22,APPROVED
FU-172,2024-11-22,APPROVED WITH SDK
FU-172,2024-11-22,TERMINATED
FU-171,2024-11-22,OPEN
FU-171,2024-11-22,IN PROGRESS
FU-171,2024-11-22,APPLE REVIEW
FU-171,2024-11-22,APPROVED
FU-171,2024-11-22,APPROVED WITH SDK
FU-171,2024-12-12,TERMINATED
FU-170,2024-11-22,OPEN
FU-170,2024-11-22,IN PROGRESS
FU-170,2024-11-22,APPLE REVIEW
FU-170,2024-11-22,APPROVED
FU-170,2024-11-22,APPROVED WITH SDK
FU-170,2024-11-22,TERMINATED
FU-169,2024-11-22,OPEN
FU-169,2024-11-22,IN PROGRESS
FU-169,2024-11-22,APPLE REVIEW
FU-169,2024-11-22,APPROVED
FU-169,2024-11-22,APPROVED WITH SDK
FU-169,2024-11-22,TERMINATED
FU-168,2024-11-22,OPEN
FU-168,2024-11-22,IN PROGRESS
FU-168,2024-11-22,APPLE REVIEW
FU-168,2024-11-22,APPROVED
FU-168,2024-11-22,APPROVED WITH SDK
FU-168,2024-12-12,TERMINATED
FU-167,2024-11-22,OPEN
FU-167,2024-11-22,IN PROGRESS
FU-167,2024-11-22,APPLE REVIEW
FU-167,2024-11-22,APPROVED
FU-167,2024-11-22,APPROVED WITH SDK
FU-167,2024-11-22,TERMINATED
FU-166,2024-11-22,OPEN
FU-166,2024-11-22,IN PROGRESS
FU-166,2024-11-22,APPLE REVIEW
FU-166,2024-11-22,APPROVED
FU-166,2024-11-22,APPROVED WITH SDK
FU-166,2024-11-22,TERMINATED
FU-165,2024-11-22,OPEN
FU-165,2024-11-22,IN PROGRESS
FU-165,2024-11-22,APPLE REVIEW
FU-165,2024-11-22,APPROVED
FU-165,2024-11-22,APPROVED WITH SDK
FU-165,2024-11-22,TERMINATED
FU-164,2024-11-22,OPEN
FU-164,2024-11-22,IN PROGRESS
FU-164,2024-11-22,APPLE REVIEW
FU-164,2024-11-22,APPROVED
FU-164,2024-11-22,APPROVED WITH SDK
FU-164,2024-11-22,TERMINATED
FU-163,2024-11-22,OPEN
FU-163,2024-11-22,IN PROGRESS
FU-163,2024-11-22,APPLE REVIEW
FU-163,2024-11-22,APPROVED
FU-163,2024-11-22,APPROVED WITH SDK
FU-163,2024-11-22,TERMINATED
FU-162,2024-11-22,OPEN
FU-162,2024-11-22,IN PROGRESS
FU-162,2024-11-22,APPLE REVIEW
FU-162,2024-11-22,APPROVED
FU-162,2024-11-22,APPROVED WITH SDK
FU-162,2024-11-22,TERMINATED
FU-161,2024-11-22,OPEN
FU-161,2024-11-22,IN PROGRESS
FU-161,2024-11-22,APPLE REVIEW
FU-161,2024-11-22,REJECTED
FU-161,2024-11-22,CANCELED
FU-160,2024-11-22,OPEN
FU-160,2024-11-22,IN PROGRESS
FU-160,2024-11-22,APPLE REVIEW
FU-160,2024-11-22,APPROVED
FU-160,2024-11-22,APPROVED WITH SDK
FU-160,2024-12-27,QC Passed
FU-160,2025-01-07,TERMINATED
FU-159,2024-11-22,OPEN
FU-159,2024-11-22,IN PROGRESS
FU-158,2024-11-21,OPEN
FU-158,2024-11-25,IN PROGRESS
FU-158,2024-12-11,APPLE REVIEW
FU-158,2024-12-12,APPROVED
FU-158,2024-12-19,APPROVED WITH SDK
FU-158,2025-01-05,QC Passed
FU-158,2025-01-07,TERMINATED
FU-157,2024-11-21,OPEN
FU-157,2024-11-21,IN PROGRESS
FU-156,2024-11-21,OPEN
FU-156,2024-11-21,IN PROGRESS
FU-155,2024-11-19,OPEN
FU-155,2024-11-19,IN PROGRESS
FU-155,2024-12-05,APPLE REVIEW
FU-155,2024-12-11,REJECTED
FU-155,2024-12-13,IN PROGRESS
FU-155,2024-12-13,APPLE REVIEW
FU-155,2024-12-13,APPROVED
FU-155,2024-12-16,IN PROGRESS
FU-155,2024-12-16,APPLE REVIEW
FU-155,2024-12-16,APPROVED
FU-155,2024-12-27,APPROVED WITH SDK
FU-155,2025-01-04,QC FAILED
FU-155,2025-01-06,APPROVED WITH SDK
FU-155,2025-01-07,TERMINATED
FU-154,2024-11-18,OPEN
FU-154,2024-11-18,IN PROGRESS
FU-153,2024-11-18,OPEN
FU-153,2024-11-18,IN PROGRESS
FU-153,2024-11-24,APPLE REVIEW
FU-153,2024-11-24,APPROVED
FU-153,2024-12-06,APPROVED WITH SDK
FU-153,2025-01-04,QC FAILED
FU-153,2025-01-07,TERMINATED
FU-153,2025-01-07,TERMINATED
FU-152,2024-11-17,OPEN
FU-152,2024-11-17,IN PROGRESS
FU-151,2024-11-15,OPEN
FU-151,2024-11-18,IN PROGRESS
FU-151,2024-11-28,APPLE REVIEW
FU-151,2024-11-28,APPROVED
FU-151,2024-11-29,APPROVED WITH SDK
FU-151,2025-01-05,QC FAILED
FU-151,2025-01-06,APPROVED WITH SDK
FU-151,2025-01-07,TERMINATED
FU-150,2024-11-14,OPEN
FU-150,2024-11-14,IN PROGRESS
FU-150,2024-11-29,APPLE REVIEW
FU-150,2024-12-10,APPROVED
FU-150,2024-12-27,APPROVED WITH SDK
FU-150,2025-01-04,QC FAILED
FU-150,2025-01-06,APPROVED WITH SDK
FU-150,2025-01-07,TERMINATED
FU-149,2024-11-12,OPEN
FU-149,2024-11-12,IN PROGRESS
FU-149,2024-11-20,APPLE REVIEW
FU-149,2024-11-22,APPROVED
FU-149,2024-11-27,APPROVED WITH SDK
FU-149,2024-12-27,QC Passed
FU-149,2025-01-07,TERMINATED
FU-148,2024-11-11,OPEN
FU-148,2024-11-11,IN PROGRESS
FU-148,2024-11-27,APPLE REVIEW
FU-148,2024-11-28,APPROVED
FU-148,2024-12-07,TERMINATED
FU-147,2024-11-09,OPEN
FU-147,2024-11-09,IN PROGRESS
FU-147,2024-11-15,PENDING
FU-147,2024-11-16,IN PROGRESS
FU-147,2024-11-22,TESTING
FU-147,2024-11-22,IN PROGRESS
FU-147,2024-12-02,APPLE REVIEW
FU-147,2024-12-02,APPROVED
FU-147,2025-01-12,APPROVED WITH SDK
FU-147,2025-01-15,READY TO TEST
FU-147,2025-01-15,QC Passed
FU-147,2025-01-15,OnLP
FU-147,2025-02-06,Gone
FU-146,2024-11-04,OPEN
FU-146,2024-11-04,IN PROGRESS
FU-146,2024-11-07,APPLE REVIEW
FU-146,2024-11-27,APPROVED
FU-146,2025-02-07,TERMINATED
FU-145,2024-11-03,OPEN
FU-145,2024-11-03,IN PROGRESS
FU-145,2024-11-03,APPLE REVIEW
FU-145,2024-12-12,REJECTED
FU-145,2024-12-19,IN PROGRESS
FU-145,2024-12-19,APPLE REVIEW
FU-145,2024-12-19,REJECTED
FU-144,2024-11-01,OPEN
FU-144,2024-11-12,IN PROGRESS
FU-144,2024-11-14,APPLE REVIEW
FU-144,2024-11-14,APPROVED
FU-144,2024-12-04,APPROVED WITH SDK
FU-144,2024-12-21,TERMINATED
FU-142,2024-11-01,OPEN
FU-142,2024-11-04,IN PROGRESS
FU-142,2024-11-15,APPLE REVIEW
FU-142,2024-11-15,APPROVED
FU-142,2024-11-22,APPROVED WITH SDK
FU-142,2024-12-27,QC Passed
FU-142,2025-01-03,TERMINATED
FU-141,2024-10-31,OPEN
FU-141,2024-10-31,IN PROGRESS
FU-141,2024-11-01,APPLE REVIEW
FU-141,2024-11-27,APPROVED
FU-141,2024-12-12,TERMINATED
FU-140,2024-10-31,OPEN
FU-140,2024-11-11,IN PROGRESS
FU-140,2024-11-11,APPLE REVIEW
FU-140,2024-11-11,APPROVED
FU-140,2024-11-22,APPROVED WITH SDK
FU-140,2025-01-04,QC Passed
FU-140,2025-01-07,TERMINATED
FU-139,2024-10-31,OPEN
FU-139,2024-10-31,IN PROGRESS
FU-139,2024-12-19,APPLE REVIEW
FU-139,2024-12-19,APPROVED
FU-139,2025-01-14,APPROVED WITH SDK
FU-139,2025-02-07,Gone
FU-138,2024-10-30,OPEN
FU-138,2024-10-30,IN PROGRESS
FU-138,2024-11-19,APPLE REVIEW
FU-138,2024-12-04,REJECTED
FU-138,2024-12-30,IN PROGRESS
FU-138,2024-12-30,APPLE REVIEW
FU-138,2025-01-16,REJECTED
FU-138,2025-01-22,IN PROGRESS
FU-138,2025-01-22,APPLE REVIEW
FU-138,2025-01-24,REJECTED
FU-137,2024-10-30,OPEN
FU-137,2024-10-30,IN PROGRESS
FU-137,2024-11-12,APPLE REVIEW
FU-137,2024-11-13,REJECTED
FU-137,2024-11-18,IN PROGRESS
FU-137,2024-11-18,APPLE REVIEW
FU-137,2024-11-18,APPROVED
FU-137,2025-01-07,APPROVED WITH SDK
FU-137,2025-01-08,QC FAILED
FU-137,2025-01-14,QC FAILED REVIEWED
FU-137,2025-02-07,Gone
FU-136,2024-10-29,OPEN
FU-136,2024-10-29,IN PROGRESS
FU-136,2024-12-02,APPLE REVIEW
FU-136,2024-12-02,APPROVED
FU-136,2025-01-07,APPROVED WITH SDK
FU-136,2025-01-10,QC FAILED
FU-136,2025-01-14,READY TO TEST
FU-136,2025-01-15,QC FAILED REVIEWED
FU-136,2025-01-16,IN PROGRESS
FU-136,2025-01-20,APPROVED
FU-136,2025-01-20,APPROVED WITH SDK
FU-136,2025-02-07,Gone
FU-135,2024-10-29,OPEN
FU-135,2024-10-29,IN PROGRESS
